k,x1,x2,x3,f(x2),x*,f(x*)
0,30.0,45.0,60,872.9794540541419,43.203599257434036,874.247294881528
1,30.0,43.203599257434036,45,874.247294881528,43.328866062772384,874.2588915845403
2,43.203599257434036,43.328866062772384,45,874.2588915845403,43.36312515084707,874.2594591045539
3,43.328866062772384,43.36312515084707,45,874.2594591045539,43.36332911278138,874.259459133094
4,43.36312515084707,43.36332911278138,45,874.259459133094,43.36337352438426,874.2594591340508
5,43.36332911278138,43.36337352438426,45,874.2594591340508,43.363373820602845,874.2594591340509
6,43.36337352438426,43.363373820602845,45,874.2594591340509,43.36337865532723,874.2594591340403
