"(σ1, σ2)",k,x,y,f,||∇f||,α,Nf,N∇f
"(0.01, 0.1)",12,2.0,1.0000000675562617,4.563848494318957e-15,1.3511252343612057e-06,0.44999999999999996,45,33
"(0.01, 0.5)",18,2.0,1.0000002061584303,4.250129839489585e-14,1.0307921511909512e-06,0.3,37,19
"(0.01, 0.9)",18,2.0,1.0000002061584303,4.250129839489585e-14,1.0307921511909512e-06,0.3,37,19
"(0.05, 0.1)",12,2.0,1.0000000675562617,4.563848494318957e-15,1.3511252343612057e-06,0.44999999999999996,45,33
"(0.05, 0.5)",18,2.0,1.0000002061584303,4.250129839489585e-14,1.0307921511909512e-06,0.3,37,19
"(0.05, 0.9)",18,2.0,1.0000002061584303,4.250129839489585e-14,1.0307921511909512e-06,0.3,37,19
"(0.09, 0.1)",12,2.0,1.0000000675562617,4.563848494318957e-15,1.3511252343612057e-06,0.44999999999999996,45,33
"(0.09, 0.5)",18,2.0,1.0000002061584303,4.250129839489585e-14,1.0307921511909512e-06,0.3,37,19
"(0.09, 0.9)",18,2.0,1.0000002061584303,4.250129839489585e-14,1.0307921511909512e-06,0.3,37,19
