k,a,b,l,x1,x2,f(x1),f(x2)
0,0.0,3.0,3.0,1.1458980337503153,1.8541019662496847,-0.1464398354681351,-0.08609325003379231
1,0.0,1.8541019662496847,1.8541019662496847,0.7082039324993691,1.1458980337503153,-0.1755241809581619,-0.1464398354681351
2,0.0,1.1458980337503153,1.1458980337503153,0.43769410125094627,0.7082039324993691,-0.13636581715630924,-0.1755241809581619
3,0.43769410125094627,1.1458980337503153,0.708203932499369,0.7082039324993691,0.8753882025018926,-0.1755241809581619,-0.17022418667857275
4,0.43769410125094627,0.8753882025018926,0.4376941012509464,0.6048783712534699,0.7082039324993691,-0.17018502390025347,-0.1755241809581619
5,0.6048783712534699,0.8753882025018926,0.27050983124842276,0.7082039324993691,0.7720626412559936,-0.1755241809581619,-0.17504438716799564
6,0.6048783712534699,0.7720626412559936,0.16718427000252367,0.6687370800100945,0.7082039324993691,-0.17451177622712766,-0.1755241809581619
7,0.6687370800100945,0.7720626412559936,0.10332556124589909,0.7082039324993691,0.732595788766719,-0.1755241809581619,-0.17562104171128168
8,0.7082039324993691,0.7720626412559936,0.06385870875662447,0.732595788766719,0.7476707849886436,-0.17562104171128168,-0.1755013747722578
