N,xMin,yMin
10,0.6667444444444444,-0.17442984630106173
20,0.7895473684210526,-0.17453371864932365
30,0.7242137931034482,-0.17562969202225454
40,0.6923846153846154,-0.17525289546363831
50,0.7347693877551019,-0.17561191078034355
60,0.7119406779661016,-0.1755635853532863
70,0.7392057971014492,-0.1755846693413845
80,0.7215949367088608,-0.17562357214502844
90,0.7416483146067414,-0.1755648087769981
100,0.7273484848484848,-0.1756314505802562
