k,a,b,c,l,f(a),f(b),f(c),derivada
0,0.0001,3.0,1.50005,2.9999,0.24984293786732042,-0.040251663189926346,-0.11276880848748783,0.08655051420336513
1,0.0001,1.50005,0.750075,1.4999500000000001,0.24984293786732042,-0.11276880848748783,-0.1754703990990596,0.013545935317327285
2,0.0001,0.750075,0.3750875,0.7499750000000001,0.24984293786732042,-0.1754703990990596,-0.11208331403495192,-0.4507216365123856
3,0.3750875,0.750075,0.56258125,0.37498750000000003,-0.11208331403495192,-0.1754703990990596,-0.16509851352926586,-0.1441172689820025
4,0.56258125,0.750075,0.656328125,0.18749375000000001,-0.16509851352926586,-0.1754703990990596,-0.17394974956396037,-0.05033853170632874
5,0.656328125,0.750075,0.7032015625000001,0.09374687500000001,-0.17394974956396037,-0.1754703990990596,-0.17545690125502011,-0.015133515560150634
6,0.7032015625000001,0.750075,0.7266382812500001,0.04687343749999995,-0.17545690125502011,-0.1754703990990596,-0.17563157960257447,-3.509071033747091e-05
